Attrition,TotalWorkingYears,Age,JobLevel,YearsInCurrentRole,MonthlyIncome,YearsWithCurrManager,YearsAtCompany,StockOptionLevel,JobInvolvement,OverTime_No,OverTime_Yes,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely
0,0.15000000000000002,0.14634146341463422,0.0,0.16666666666666666,0.13628225381779885,0.11764705882352941,0.1,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.4,0.5853658536585367,0.25,0.0,0.17182727751448132,0.0,0.025,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.225,0.34146341463414637,0.5,0.4444444444444444,0.420695102685624,0.4117647058823529,0.225,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.525,0.5609756097560976,0.75,0.38888888888888884,0.6614533965244865,0.5882352941176471,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.47500000000000003,0.902439024390244,0.0,0.1111111111111111,0.08704581358609795,0.23529411764705882,0.125,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.325,0.878048780487805,0.5,0.2222222222222222,0.509583991574513,0.0,0.225,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.8500000000000001,0.8292682926829269,1.0,1.0,1.0000000000000002,0.5294117647058824,0.8250000000000001,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.42500000000000004,0.5121951219512195,0.25,0.611111111111111,0.2576619273301738,0.5294117647058824,0.375,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.375,0.39024390243902446,0.25,0.4444444444444444,0.18088467614533968,0.5882352941176471,0.275,0.6666666666666666,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.275,0.8048780487804879,0.25,0.38888888888888884,0.2333859926276988,0.0,0.25,0.0,0.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.625,0.7560975609756098,0.75,0.05555555555555555,0.682201158504476,0.4117647058823529,0.17500000000000002,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.15000000000000002,0.4146341463414634,0.0,0.2222222222222222,0.0974196945760927,0.23529411764705882,0.15000000000000002,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.625,0.7317073170731709,1.0,0.0,0.9086887835703001,0.0,0.025,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.2,0.3170731707317073,0.0,0.1111111111111111,0.057925223802001054,0.11764705882352941,0.07500000000000001,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.5,0.5365853658536586,0.5,0.0,0.522538177988415,0.058823529411764705,0.025,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.25,0.5121951219512195,0.25,0.1111111111111111,0.21237493417588207,0.47058823529411764,0.225,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.125,0.1951219512195122,0.0,0.1111111111111111,0.10305423907319644,0.0,0.1,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.325,0.3170731707317073,0.25,0.38888888888888884,0.2348077935755661,0.4117647058823529,0.30000000000000004,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.15000000000000002,0.4146341463414634,0.0,0.2777777777777778,0.08162190626645605,0.058823529411764705,0.15000000000000002,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.17500000000000002,0.2439024390243903,0.25,0.38888888888888884,0.3067403896787783,0.4117647058823529,0.17500000000000002,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.2,0.1951219512195122,0.0,0.38888888888888884,0.09784096893101635,0.3529411764705882,0.17500000000000002,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.25,0.5853658536585367,0.25,0.0,0.23849394418114797,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.30000000000000004,0.4146341463414634,0.5,0.5,0.3691943127962085,0.5294117647058824,0.275,0.6666666666666666,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.35000000000000003,0.39024390243902446,0.25,0.5,0.2282253817798842,0.5294117647058824,0.325,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.7250000000000001,0.9756097560975612,0.75,0.0,0.8881516587677726,0.0,0.025,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.9500000000000001,0.9756097560975612,0.75,0.5555555555555556,0.6773565034228541,0.47058823529411764,0.925,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.5750000000000001,0.8048780487804879,0.5,0.6666666666666666,0.34096893101632436,0.47058823529411764,0.325,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.2,0.6097560975609757,0.25,0.1111111111111111,0.18499210110584519,0.11764705882352941,0.125,0.0,0.6666666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.21951219512195125,0.0,0.0,0.03670352817272248,0.0,0.0,1.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.525,0.5609756097560976,0.5,0.0,0.31979989468141123,0.11764705882352941,0.05,0.0,0.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.5750000000000001,0.8048780487804879,1.0,1.0,0.9756714060031596,0.8823529411764706,0.5,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.15000000000000002,0.26829268292682934,0.0,0.2222222222222222,0.061032122169562934,0.1764705882352941,0.125,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.1,0.09756097560975613,0.0,0.1111111111111111,0.06945760926803582,0.11764705882352941,0.1,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.2,0.43902439024390244,0.0,0.1111111111111111,0.19320695102685626,0.058823529411764705,0.15000000000000002,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.225,0.5365853658536586,0.25,0.2222222222222222,0.23507109004739338,0.058823529411764705,0.2,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.6000000000000001,0.7317073170731709,0.75,0.9444444444444444,0.8512374934175883,0.4117647058823529,0.55,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
